Sr. No,Security Symbol,Security Name,Industry,Equity,Market Capitalisation,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost,Market Capitalisation Type,Year,Month
30,KOTAKBANK,Kotak Mahindra Bank Ltd.,PRIVATE SECTOR BANK,9932524185.0,254731.3,3.34,0.86,0.37,1.06,0.21,0.02,Free,2023,Mar
31,LT,Larsen & Toubro Ltd.,ENGINEERING-DESIGNING-CONSTRUCTION,2810872948.0,261581.52,3.43,1.01,0.43,1.0,2.61,0.02,Free,2023,Mar
32,M&M,Mahindra & Mahindra Ltd.,PASSENGER/UTILITY VEHICLES,6217644155.0,103743.13,1.36,1.0,0.32,1.37,-8.74,0.02,Free,2023,Mar
33,MARUTI,Maruti Suzuki India Ltd.,PASSENGER/UTILITY VEHICLES,1510400300.0,110215.3,1.45,0.73,0.24,1.04,-3.85,0.02,Free,2023,Mar
34,NTPC,NTPC Ltd.,POWER,96966661340.0,83196.43,1.09,0.55,0.11,1.01,2.7,0.03,Free,2023,Mar
35,NESTLEIND,Nestle India Ltd.,CONSUMER FOOD,964157160.0,70293.47,0.92,0.61,0.22,1.2,5.54,0.02,Free,2023,Mar
36,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION,62901396030.0,58907.79,0.77,0.64,0.08,1.18,-0.66,0.03,Free,2023,Mar
37,POWERGRID,Power Grid Corporation of India Ltd.,POWER - TRANSMISSION,69754528640.0,77143.63,1.01,0.47,0.08,1.1,1.55,0.03,Free,2023,Mar
38,RELIANCE,Reliance Industries Ltd.,REFINERIES/MARKETING,67654892760.0,788534.69,10.34,1.11,0.43,1.7,0.37,0.01,Free,2023,Mar
39,SBILIFE,SBI Life Insurance Company Ltd.,LIFE INSURANCE,10008787890.0,49593.04,0.65,0.94,0.3,1.27,-1.78,0.03,Free,2023,Mar
40,SBIN,State Bank of India,PUBLIC SECTOR BANK,8924611934.0,200993.42,2.64,1.13,0.45,1.83,0.18,0.02,Free,2023,Mar
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970.0,106145.38,1.39,0.53,0.16,0.75,2.77,0.02,Free,2023,Mar
42,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3659051373.0,328455.48,4.31,1.0,0.44,1.14,-3.23,0.02,Free,2023,Mar
43,TATACONSUM,Tata Consumer Products Ltd.,TEA &  COFFEE,929011650.0,42145.91,0.55,0.79,0.28,0.94,-0.9,0.02,Free,2023,Mar
44,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,6642688650.0,74073.95,0.97,1.26,0.35,1.66,0.02,0.02,Free,2023,Mar
45,TATASTEEL,Tata Steel Ltd.,STEEL,12221532630.0,84291.91,1.11,1.28,0.28,1.51,0.53,0.03,Free,2023,Mar
46,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4870737375.0,68695.32,0.9,1.11,0.31,2.02,0.15,0.03,Free,2023,Mar
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160.0,104936.59,1.38,1.0,0.32,1.04,5.99,0.02,Free,2023,Mar
48,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1501215282.0,37168.48,0.49,1.1,0.34,1.28,3.38,0.02,Free,2023,Mar
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT,2886825850.0,88015.28,1.15,0.84,0.28,1.02,4.97,0.02,Free,2023,Mar
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,10975835482.0,54120.47,0.71,1.11,0.49,1.0,-5.63,0.02,Free,2023,Mar
1,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1140001121.0,68218.12,0.84,2.03,0.12,5.31,29.53,0.02,Free,2023,May
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4320277890.0,55860.65,0.69,1.72,0.23,1.89,8.45,0.03,Free,2023,May
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285.0,46519.58,0.57,0.63,0.11,1.08,2.4,0.02,Free,2023,May
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790.0,143945.52,1.77,0.53,0.1,0.95,10.01,0.02,Free,2023,May
5,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6153080914.0,250497.0,3.08,0.99,0.3,0.87,6.38,0.02,Free,2023,May
6,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2829573580.0,51692.35,0.64,0.62,0.13,0.88,3.05,0.02,Free,2023,May
7,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1210858466.0,186201.82,2.29,1.43,0.4,1.28,11.3,0.01,Free,2023,May
8,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,1592815460.0,78582.67,0.97,1.45,0.37,1.02,7.12,0.02,Free,2023,May
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,21692527440.0,34695.03,0.43,0.6,0.1,1.08,1.65,0.02,Free,2023,May
10,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,27875673250.0,208485.51,2.56,0.74,0.2,1.15,6.33,0.02,Free,2023,May
11,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296.0,54965.05,0.68,0.39,0.06,0.77,2.27,0.01,Free,2023,May
12,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1614287860.0,50001.15,0.62,0.47,0.09,0.73,4.96,0.02,Free,2023,May
13,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270.0,50549.78,0.62,0.72,0.15,0.88,3.5,0.03,Free,2023,May
14,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160.0,43880.04,0.54,0.32,0.02,1.97,5.38,0.03,Free,2023,May
15,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,832634270.0,54716.84,0.67,0.35,0.05,1.63,-8.7,0.01,Free,2023,May
16,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,273481570.0,50210.53,0.62,0.96,0.21,1.53,11.23,0.01,Free,2023,May
17,GRASIM,Grasim Industries Ltd.,CEMENT,1316864252.0,63359.34,0.78,0.84,0.27,0.81,-0.11,0.02,Free,2023,May
18,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192.0,121189.3,1.49,0.98,0.32,1.04,7.61,0.02,Free,2023,May
19,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,5579742786.0,710062.16,8.73,1.09,0.51,1.52,-4.55,0.01,Free,2023,May
20,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,21493637650.0,58566.08,0.72,1.01,0.22,0.95,11.82,0.02,Free,2023,May
21,HEROMOTOCO,Hero MotoCorp Ltd.,MOTOR CYCLES/SCOOTERS,399679436.0,35849.95,0.44,0.7,0.17,0.89,7.87,0.02,Free,2023,May
22,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2247194585.0,59288.86,0.73,1.68,0.35,1.62,-6.93,0.02,Free,2023,May
23,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2349591262.0,238170.78,2.93,0.55,0.11,0.93,8.56,0.02,Free,2023,May
24,HDFC,Housing Development Finance Corporation Ltd.,HOUSING FINANCE,3660128386.0,478378.05,5.88,1.2,0.53,1.56,-4.87,0.02,Free,2023,May
25,ICICIBANK,ICICI Bank Ltd.,PRIVATE SECTOR BANK,13963693462.0,662681.98,8.15,1.05,0.5,0.57,3.43,0.02,Free,2023,May
26,ITC,ITC Ltd.,CIGARETTES & RELATED PRODUCTS,12420391452.0,392863.19,4.83,0.61,0.18,1.02,4.69,0.02,Free,2023,May
27,INDUSINDBK,IndusInd Bank Ltd.,PRIVATE SECTOR BANK,7758591580.0,83850.51,1.03,1.43,0.33,1.8,11.61,0.02,Free,2023,May
28,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,20742800220.0,470338.02,5.79,1.25,0.4,0.84,5.23,0.02,Free,2023,May
29,JSWSTEEL,JSW Steel Ltd.,STEEL,2417220440.0,65641.31,0.81,1.04,0.27,0.8,-4.0,0.02,Free,2023,May
30,KOTAKBANK,Kotak Mahindra Bank Ltd.,PRIVATE SECTOR BANK,9932524185.0,296112.19,3.64,0.92,0.34,0.93,3.94,0.01,Free,2023,May
31,LT,Larsen & Toubro Ltd.,ENGINEERING-DESIGNING-CONSTRUCTION,2810872948.0,266591.48,3.28,0.94,0.31,1.28,-6.71,0.02,Free,2023,May
32,M&M,Mahindra & Mahindra Ltd.,PASSENGER/UTILITY VEHICLES,6217644155.0,118095.45,1.45,1.04,0.3,1.2,7.51,0.01,Free,2023,May
33,MARUTI,Maruti Suzuki India Ltd.,PASSENGER/UTILITY VEHICLES,1510400300.0,124511.0,1.53,0.66,0.17,0.75,9.06,0.01,Free,2023,May
34,NTPC,NTPC Ltd.,POWER,96966661340.0,82602.5,1.02,0.68,0.17,0.97,1.08,0.03,Free,2023,May
35,NESTLEIND,Nestle India Ltd.,CONSUMER FOOD,964157160.0,77316.22,0.95,0.5,0.13,0.58,-0.41,0.02,Free,2023,May
36,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION,62901396030.0,60409.24,0.74,0.79,0.11,1.23,-2.55,0.02,Free,2023,May
37,POWERGRID,Power Grid Corporation of India Ltd.,POWER - TRANSMISSION,69754528640.0,79929.27,0.98,0.51,0.09,1.0,-1.43,0.02,Free,2023,May
38,RELIANCE,Reliance Industries Ltd.,REFINERIES/MARKETING,67654892760.0,835504.1,10.28,1.12,0.41,0.94,2.04,0.01,Free,2023,May
39,SBILIFE,SBI Life Insurance Company Ltd.,LIFE INSURANCE,10008787890.0,55623.84,0.68,1.01,0.3,1.0,8.32,0.02,Free,2023,May
40,SBIN,State Bank of India,PUBLIC SECTOR BANK,8924611934.0,222522.26,2.74,1.19,0.41,1.02,0.27,0.02,Free,2023,May
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970.0,105308.61,1.3,0.5,0.12,1.06,-1.25,0.02,Free,2023,May
42,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3659051373.0,337020.59,4.15,1.01,0.4,0.83,2.18,0.02,Free,2023,May
43,TATACONSUM,Tata Consumer Products Ltd.,TEA &  COFFEE,929011650.0,47485.13,0.58,0.77,0.24,0.7,4.56,0.02,Free,2023,May
44,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,6642688650.0,92645.25,1.14,1.21,0.28,1.62,8.53,0.02,Free,2023,May
45,TATASTEEL,Tata Steel Ltd.,STEEL,12221532630.0,85340.52,1.05,1.28,0.29,1.02,-1.99,0.03,Free,2023,May
46,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4870737375.0,69549.45,0.86,1.18,0.3,1.14,8.97,0.02,Free,2023,May
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160.0,117802.79,1.45,0.92,0.25,0.96,6.87,0.02,Free,2023,May
48,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1501215282.0,35482.65,0.44,1.25,0.35,1.13,-7.46,0.02,Free,2023,May
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT,2886825850.0,90877.86,1.12,0.81,0.22,0.91,4.15,0.02,Free,2023,May
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,10975835482.0,59810.35,0.74,1.1,0.43,0.9,4.84,0.02,Free,2023,May
1,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1140001121.0,77973.74,0.88,2.73,0.13,2.39,2.78,0.02,Free,2023,Nov
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4320277890.0,65978.2,0.75,2.03,0.2,1.6,5.19,0.03,Free,2023,Nov
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285.0,55648.47,0.63,0.56,0.06,1.7,14.71,0.02,Free,2023,Nov
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790.0,140652.26,1.59,0.52,0.09,0.91,4.15,0.01,Free,2023,Nov
5,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6162939698.0,297924.21,3.38,1.0,0.28,1.36,9.41,0.02,Free,2023,Nov
6,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2829573580.0,68934.64,0.78,0.6,0.08,0.84,14.61,0.02,Free,2023,Nov
7,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1211837076.0,189872.81,2.15,1.08,0.2,1.13,-4.95,0.01,Free,2023,Nov
8,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,1595488813.0,90781.72,1.03,1.18,0.26,1.08,6.62,0.02,Free,2023,Nov
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,21692527440.0,41586.31,0.47,0.59,0.07,1.39,24.75,0.02,Free,2023,Nov
10,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,28026723695.0,255948.45,2.9,0.81,0.22,0.72,10.97,0.02,Free,2023,Nov
11,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296.0,57273.63,0.65,0.46,0.08,0.95,9.63,0.02,Free,2023,Nov
12,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1614634956.0,63616.21,0.72,0.4,0.03,1.95,1.03,0.02,Free,2023,Nov
13,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270.0,78017.37,0.88,0.82,0.12,1.85,8.88,0.03,Free,2023,Nov
14,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160.0,48277.48,0.55,0.29,0.01,1.29,11.82,0.03,Free,2023,Nov
15,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,833923820.0,70472.39,0.8,0.49,0.07,0.83,7.84,0.02,Free,2023,Nov
16,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,273749460.0,53338.71,0.6,0.97,0.17,1.51,18.25,0.02,Free,2023,Nov
17,GRASIM,Grasim Industries Ltd.,CEMENT,1316897582.0,73947.22,0.84,0.99,0.32,0.75,6.29,0.02,Free,2023,Nov
18,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192.0,141911.39,1.61,0.96,0.22,0.94,5.09,0.02,Free,2023,Nov
19,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,7580137319.0,1169775.89,13.25,1.13,0.44,0.61,5.57,0.01,Free,2023,Nov
20,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,21499639940.0,74254.38,0.84,0.96,0.13,1.01,11.71,0.02,Free,2023,Nov
21,HEROMOTOCO,Hero MotoCorp Ltd.,MOTOR CYCLES/SCOOTERS,399737956.0,49615.13,0.56,0.91,0.15,1.61,23.66,0.02,Free,2023,Nov
22,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2247216523.0,75320.52,0.85,1.43,0.26,1.19,12.22,0.02,Free,2023,Nov
23,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2349591262.0,227278.08,2.57,0.48,0.09,0.7,2.48,0.02,Free,2023,Nov
24,ICICIBANK,ICICI Bank Ltd.,PRIVATE SECTOR BANK,14005936808.0,654742.53,7.42,0.97,0.4,0.8,2.14,0.02,Free,2023,Nov
25,ITC,ITC Ltd.,CIGARETTES & RELATED PRODUCTS,12470914522.0,385872.54,4.37,0.7,0.16,0.6,1.73,0.02,Free,2023,Nov
26,INDUSINDBK,IndusInd Bank Ltd.,PRIVATE SECTOR BANK,7769477670.0,95682.98,1.08,1.28,0.24,0.95,1.72,0.02,Free,2023,Nov
27,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,20751789260.0,519387.82,5.88,1.31,0.32,1.13,6.34,0.02,Free,2023,Nov
28,JSWSTEEL,JSW Steel Ltd.,STEEL,2445453966.0,74444.02,0.84,1.15,0.3,0.97,8.79,0.02,Free,2023,Nov
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,PRIVATE SECTOR BANK,9937255425.0,258176.45,2.92,0.88,0.27,0.55,0.92,0.01,Free,2023,Nov
30,LTIM,LTIMindtree Ltd.,COMPUTERS - SOFTWARE,295913763.0,50789.96,0.58,1.17,0.21,1.08,9.41,0.03,Free,2023,Nov
31,LT,Larsen & Toubro Ltd.,ENGINEERING-DESIGNING-CONSTRUCTION,2811297434.0,375858.1,4.26,0.79,0.17,0.88,6.15,0.02,Free,2023,Nov
32,M&M,Mahindra & Mahindra Ltd.,PASSENGER/UTILITY VEHICLES,6217644155.0,147529.77,1.67,1.08,0.21,1.44,12.97,0.02,Free,2023,Nov
33,MARUTI,Maruti Suzuki India Ltd.,PASSENGER/UTILITY VEHICLES,1510400300.0,141005.78,1.6,0.66,0.16,0.52,2.08,0.02,Free,2023,Nov
34,NTPC,NTPC Ltd.,POWER,96966661340.0,124153.2,1.41,0.75,0.14,0.91,10.81,0.03,Free,2023,Nov
35,NESTLEIND,Nestle India Ltd.,CONSUMER FOOD,964157160.0,86459.59,0.98,0.44,0.07,0.7,0.01,0.02,Free,2023,Nov
36,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION,62901396030.0,76028.29,0.86,0.71,0.11,1.51,4.73,0.02,Free,2023,Nov
37,POWERGRID,Power Grid Corporation of India Ltd.,POWER - TRANSMISSION,93006038190.0,95224.7,1.08,0.49,0.05,0.84,3.36,0.03,Free,2023,Nov
38,RELIANCE,Reliance Industries Ltd.,REFINERIES/MARKETING,67656234570.0,804246.57,9.11,1.3,0.52,0.7,3.91,0.01,Free,2023,Nov
39,SBILIFE,SBI Life Insurance Company Ltd.,LIFE INSURANCE,10010400420.0,64653.42,0.73,0.99,0.2,1.54,4.93,0.03,Free,2023,Nov
40,SBIN,State Bank of India,PUBLIC SECTOR BANK,8924611934.0,216727.51,2.46,1.28,0.35,0.97,-0.14,0.02,Free,2023,Nov
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970.0,132355.11,1.5,0.41,0.06,0.82,12.61,0.02,Free,2023,Nov
42,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3659051373.0,357316.61,4.05,0.95,0.28,1.04,3.53,0.02,Free,2023,Nov
43,TATACONSUM,Tata Consumer Products Ltd.,TEA &  COFFEE,929011650.0,56807.9,0.64,0.77,0.18,0.71,4.47,0.02,Free,2023,Nov
44,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,6644634000.0,124384.89,1.41,0.99,0.16,1.2,12.37,0.02,Free,2023,Nov
45,TATASTEEL,Tata Steel Ltd.,STEEL,12297332940.0,103806.71,1.18,1.23,0.26,0.93,7.71,0.03,Free,2023,Nov
46,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4877520525.0,76226.67,0.86,1.09,0.18,1.29,7.75,0.03,Free,2023,Nov
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160.0,145648.6,1.65,0.65,0.12,0.91,9.44,0.02,Free,2023,Nov
48,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1501215282.0,28698.39,0.33,1.1,0.26,0.99,5.58,0.02,Free,2023,Nov
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT,2886863450.0,103969.23,1.18,0.73,0.16,1.08,6.9,0.02,Free,2023,Nov
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,10443499852.0,58234.78,0.66,1.12,0.37,0.99,8.18,0.02,Free,2023,Nov
1,ADANIENT,Adani Enterprises Ltd.,TRADING - MINERALS/ MINING,1140001121.0,75861.2,0.91,2.68,0.13,1.7,-4.94,0.02,Free,2023,Oct
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,PORT,4320277890.0,62721.25,0.75,1.95,0.19,1.59,-4.9,0.03,Free,2023,Oct
3,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HOSPITAL,718923285.0,48511.94,0.58,0.63,0.08,0.94,-6.19,0.01,Free,2023,Oct
4,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790.0,135053.03,1.61,0.49,0.08,0.92,-5.23,0.02,Free,2023,Oct
5,AXISBANK,Axis Bank Ltd.,PRIVATE SECTOR BANK,6162939698.0,272298.71,3.25,0.89,0.23,1.6,-5.29,0.02,Free,2023,Oct
6,BAJAJ-AUTO,Bajaj Auto Ltd.,MOTOR CYCLES/SCOOTERS,2829573580.0,60145.98,0.72,0.59,0.08,1.84,4.94,0.02,Free,2023,Oct
7,BAJFINANCE,Bajaj Finance Ltd.,NBFC,1211837076.0,199757.16,2.39,1.09,0.21,1.53,-4.07,0.02,Free,2023,Oct
8,BAJAJFINSV,Bajaj Finserv Ltd.,GENERAL INSURANCE,1595488813.0,85142.78,1.02,1.18,0.26,1.7,1.9,0.03,Free,2023,Oct
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,21692527440.0,33334.91,0.4,0.59,0.07,1.37,0.76,0.02,Free,2023,Oct
10,BHARTIARTL,Bharti Airtel Ltd.,TELECOM - SERVICES,28026723695.0,230648.73,2.76,0.74,0.18,1.04,-1.3,0.02,Free,2023,Oct
11,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296.0,52243.97,0.62,0.46,0.06,0.5,-2.44,0.02,Free,2023,Oct
12,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1614634956.0,62970.76,0.75,0.37,0.03,1.34,1.17,0.02,Free,2023,Oct
13,COALINDIA,Coal India Ltd.,INDUSTRIAL MINERALS,61627283270.0,71655.58,0.86,0.76,0.11,1.65,6.45,0.03,Free,2023,Oct
14,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160.0,43176.02,0.52,0.26,0.01,0.84,-10.01,0.03,Free,2023,Oct
15,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,833923820.0,65351.47,0.78,0.48,0.06,1.02,-3.93,0.02,Free,2023,Oct
16,EICHERMOT,Eicher Motors Ltd.,MOTOR CYCLES/SCOOTERS,273749460.0,45107.75,0.54,0.79,0.11,1.03,-4.39,0.02,Free,2023,Oct
17,GRASIM,Grasim Industries Ltd.,CEMENT,1316897582.0,69568.54,0.83,1.01,0.31,1.28,-2.87,0.02,Free,2023,Oct
18,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,5427330192.0,135042.83,1.61,1.0,0.24,1.2,3.34,0.03,Free,2023,Oct
19,HDFCBANK,HDFC Bank Ltd.,PRIVATE SECTOR BANK,7580137319.0,1108015.2,13.24,1.18,0.44,0.92,-3.26,0.02,Free,2023,Oct
20,HDFCLIFE,HDFC Life Insurance Company Ltd.,LIFE INSURANCE,21499639940.0,66471.51,0.79,1.01,0.14,1.2,-2.99,0.02,Free,2023,Oct
21,HEROMOTOCO,Hero MotoCorp Ltd.,MOTOR CYCLES/SCOOTERS,399737956.0,40122.25,0.48,0.79,0.13,1.62,1.02,0.02,Free,2023,Oct
22,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2247216523.0,67118.74,0.8,1.48,0.25,1.12,-6.73,0.02,Free,2023,Oct
23,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2349591262.0,221782.62,2.65,0.48,0.09,0.75,0.75,0.01,Free,2023,Oct
24,ICICIBANK,ICICI Bank Ltd.,PRIVATE SECTOR BANK,14005936808.0,641016.71,7.66,0.92,0.37,0.8,-3.84,0.02,Free,2023,Oct
25,ITC,ITC Ltd.,CIGARETTES & RELATED PRODUCTS,12470914522.0,379320.32,4.53,0.66,0.14,0.86,-3.6,0.02,Free,2023,Oct
26,INDUSINDBK,IndusInd Bank Ltd.,PRIVATE SECTOR BANK,7769477670.0,94064.44,1.12,1.28,0.25,1.44,0.87,0.03,Free,2023,Oct
27,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,20751789260.0,488424.07,5.84,1.34,0.32,1.16,-4.67,0.02,Free,2023,Oct
28,JSWSTEEL,JSW Steel Ltd.,STEEL,2445453966.0,68426.98,0.82,1.17,0.3,1.23,-5.55,0.03,Free,2023,Oct
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,PRIVATE SECTOR BANK,9937255425.0,255815.96,3.06,0.81,0.22,1.12,0.21,0.02,Free,2023,Oct
30,LTIM,LTIMindtree Ltd.,COMPUTERS - SOFTWARE,295913763.0,46420.7,0.55,1.22,0.22,1.8,-2.87,0.03,Free,2023,Oct
31,LT,Larsen & Toubro Ltd.,ENGINEERING-DESIGNING-CONSTRUCTION,2811297434.0,354080.52,4.23,0.8,0.18,1.04,-3.13,0.02,Free,2023,Oct
32,M&M,Mahindra & Mahindra Ltd.,PASSENGER/UTILITY VEHICLES,6217644155.0,130594.4,1.56,1.09,0.23,1.33,-6.15,0.02,Free,2023,Oct
33,MARUTI,Maruti Suzuki India Ltd.,PASSENGER/UTILITY VEHICLES,1510400300.0,138129.49,1.65,0.65,0.15,1.05,-2.06,0.02,Free,2023,Oct
34,NTPC,NTPC Ltd.,POWER,96966661340.0,112037.22,1.34,0.77,0.14,1.19,-3.97,0.03,Free,2023,Oct
35,NESTLEIND,Nestle India Ltd.,CONSUMER FOOD,964157160.0,86454.78,1.03,0.46,0.08,1.49,7.68,0.03,Free,2023,Oct
36,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION,62901396030.0,72596.39,0.87,0.73,0.13,0.98,-2.97,0.02,Free,2023,Oct
37,POWERGRID,Power Grid Corporation of India Ltd.,POWER - TRANSMISSION,93006038190.0,92125.74,1.1,0.56,0.06,0.86,1.2,0.03,Free,2023,Oct
38,RELIANCE,Reliance Industries Ltd.,REFINERIES/MARKETING,67656234570.0,773953.5,9.25,0.0,0.0,0.98,-2.43,0.02,Free,2023,Oct
39,SBILIFE,SBI Life Insurance Company Ltd.,LIFE INSURANCE,10010400420.0,61617.27,0.74,0.99,0.23,1.27,4.78,0.03,Free,2023,Oct
40,SBIN,State Bank of India,PUBLIC SECTOR BANK,8924611934.0,217034.51,2.59,1.25,0.34,1.22,-5.51,0.02,Free,2023,Oct
41,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970.0,117536.22,1.4,0.41,0.07,0.99,-6.05,0.02,Free,2023,Oct
42,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3659051373.0,345140.02,4.12,0.98,0.3,1.03,-4.53,0.02,Free,2023,Oct
43,TATACONSUM,Tata Consumer Products Ltd.,TEA &  COFFEE,929011650.0,54377.37,0.65,0.81,0.2,0.99,2.69,0.02,Free,2023,Oct
44,TATAMOTORS,Tata Motors Ltd.,PASSENGER/UTILITY VEHICLES,6644634000.0,110694.45,1.32,1.02,0.16,1.7,-0.25,0.02,Free,2023,Oct
45,TATASTEEL,Tata Steel Ltd.,STEEL,12221532630.0,95786.26,1.14,1.22,0.26,1.13,-7.87,0.03,Free,2023,Oct
46,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4877520525.0,70745.12,0.85,1.1,0.19,1.05,-7.33,0.03,Free,2023,Oct
47,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160.0,133091.17,1.59,0.64,0.12,1.25,1.3,0.02,Free,2023,Oct
48,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1501215282.0,27182.13,0.32,1.03,0.23,1.45,-12.29,0.02,Free,2023,Oct
