Date,ABB.NS,ACC.NS,AMBUJACEM.NS,BHARTIARTL.NS,BHEL.NS,BPCL.NS,CAIRN.NS,CIPLA.NS,DLF.NS,GAIL.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,IDEA.NS,INFY.NS,ITC.NS,LT.NS,M&M.NS,MARUTI.NS,NATIONALUM.NS,NTPC.NS,ONGC.NS,PNB.NS,POWERGRID.NS,RANBAXY.NS,RCOM.NS,RELCAPITAL.NS,RELIANCE.NS,RELINFRA.NS,RPL.NS,RPOWER.NS,SAIL.NS,SBIN.NS,SIEMENS.NS,STER.NS,SUNPHARMA.NS,SUZLON.NS,TATACOMM.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,UNITECH.NS,WIPRO.NS,ZEEL.NS,AXISBANK.NS,JINDALSTEL.NS,IDFC.NS,JPASSOCIAT.NS,KOTAKBANK.NS,BAJAJ-AUTO.NS,DRREDDY.NS,VEDL.NS,COALINDIA.NS,ASIANPAINT.NS,BANKBARODA.NS,LUPIN.NS,ULTRACEMCO.NS,INDUSINDBK.NS,NMDC.NS,MCDOWELL-N.NS,TECHM.NS,YESBANK.NS,BOSCHLTD.NS,ADANIPORTS.NS,AUROPHARMA.NS,EICHERMOT.NS,INDUSTOWER.NS,TATAMTRDVR.NS,BAJFINANCE.NS,HINDPETRO.NS,IBULHSGFIN.NS,IOC.NS,UPL.NS,BAJAJFINSV.NS,TITAN.NS,JSWSTEEL.NS,BRITANNIA.NS,NESTLEIND.NS,SHREECEM.NS,HDFCLIFE.NS,DIVISLAB.NS,SBILIFE.NS,TATACONSUM.NS,APOLLOHOSP.NS,ADANIENT.NS,LTIM.NS,SHRIRAMFIN.NS
2009-04-20 00:00:00+05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-21 00:00:00+05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-22 00:00:00+05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-23 00:00:00+05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-24 00:00:00+05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-27 00:00:00+05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-28 00:00:00+05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-29 00:00:00+05:30,0.0047,0.005600000000000002,0.0057,0.0656,0.037200000000000004,0.006400000000000001,0.016200000000000003,0.008600000000000002,0.017900000000000003,0.014900000000000002,0.0075000000000000015,0.004000000000000001,0.022600000000000002,0.021500000000000002,0.010800000000000002,0.004200000000000001,0.023500000000000004,0.024500000000000004,0.0083,0.039700000000000006,0.03270000000000001,0.023600000000000003,0.006200000000000001,0.010800000000000002,0.006200000000000001,0.07190000000000002,0.08490000000000002,0.006900000000000001,0.017900000000000003,0.0032000000000000006,0.020400000000000005,0.005900000000000001,0.13050000000000003,0.007300000000000001,0.023100000000000002,0.013600000000000003,0.0207,0.03730000000000001,0.0048000000000000004,0.013300000000000003,0.0122,0.0044,0.007200000000000001,0.005000000000000001,0.009100000000000002,0.008000000000000002,0.028,0.0041,0.022200000000000004,,0.009200000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-04 00:00:00+05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-05 00:00:00+05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
